suburb,geographyCode,population,medianAge,medianHouseholdIncomeWeekly,householdsWithChildrenPct,ownerOccupiedPct,rentingPct,overseasBornPct,cantonesePct,mandarinPct,hongKongBornPct,chinaBornPct,filipinoPct,tagalogPct,thaiPct,spanishPct,portuguesePct,topBirthplacesCount,topLanguagesCount,topNonEnglishLanguagesCount,tenureDenominator,tenureComponentsSum,tenureRandomisationDifference,unpartnered2554Count,unpartnered2554Denominator,unpartnered2554Pct,loneParentFamiliesCount,loneParentFamiliesDenominator,loneParentFamiliesPct,status
Melbourne,SAL21640,54941,29,1448,8.8,25.8,71.0,64.0,3.9,20.1,1.6,15.1,0.8,0.7,2.3,2.5,0.6,5,5,5,27478,27473,5,15764,28089,56.1,856,10367,8.3,PASS
Mentone,SAL21648,13197,42,1889,37.8,65.6,32.2,28.8,0.7,3.0,0.2,2.7,0.1,0.3,0.1,1.1,0.3,5,5,5,5642,5646,-4,1771,5354,33.1,589,3700,15.9,PASS
Mernda,SAL21659,23369,33,2011,62.2,69.3,27.3,35.2,0.5,1.4,0.2,0.9,0.8,0.8,0.3,0.5,0.3,5,5,5,7530,7536,-6,2590,10835,23.9,1074,6459,16.6,PASS
Middle Park,SAL21677,4000,45,2836,38.9,66.2,31.9,25.0,0.1,0.5,0.2,0.2,0.0,0.1,0.0,0.7,0.5,5,5,5,1628,1631,-3,399,1450,27.5,127,1114,11.4,PASS
Moonee Ponds,SAL21742,16224,38,2111,32.4,58.9,38.6,28.2,1.2,1.8,0.4,1.4,0.1,0.3,0.2,1.5,0.2,5,5,5,6862,6860,2,2684,7290,36.8,462,4165,11.1,PASS
Moorabbin,SAL21746,6287,39,2031,45.3,68.0,28.7,34.0,0.8,4.1,0.3,3.4,0.4,0.3,0.3,0.9,0.2,5,5,5,2415,2412,3,728,2603,28.0,263,1725,15.2,PASS
Mount Waverley,SAL21816,35340,40,2066,51.4,73.4,24.2,47.7,4.7,16.6,1.5,13.0,0.1,0.2,0.2,0.4,0.1,5,5,5,12481,12484,-3,3912,13358,29.3,1322,9879,13.4,PASS
Newport,SAL21934,13658,38,2657,49.9,69.5,28.6,23.2,0.5,0.8,0.1,0.6,0.1,0.1,0.2,0.9,0.2,5,5,5,4960,4965,-5,1409,5929,23.8,503,3774,13.3,PASS
Noble Park,SAL21952,32257,35,1382,44.9,56.4,40.3,60.7,2.1,2.3,0.3,1.9,0.8,0.8,0.5,0.8,0.1,5,5,5,11073,11076,-3,5798,13605,42.6,1639,7975,20.6,PASS
North Melbourne,SAL21966,14953,31,1717,22.5,33.1,63.7,42.2,3.6,9.5,0.9,7.7,0.4,0.3,0.4,1.9,0.3,5,5,5,6486,6489,-3,3392,7041,48.2,530,3115,17.0,PASS
Northcote,SAL21971,25276,37,2287,34.5,60.3,37.5,24.4,0.6,1.0,0.2,0.8,0.1,0.1,0.1,0.9,0.3,5,5,5,10237,10240,-3,4858,12106,40.1,784,6257,12.5,PASS
Oakleigh,SAL22000,8442,38,1926,40.9,62.7,34.5,38.7,1.5,6.8,0.4,5.6,0.5,0.3,0.3,1.1,0.2,5,5,5,3259,3258,1,1208,3563,33.9,312,2255,13.8,PASS
Parkville,SAL22038,7074,26,1885,19.9,32.5,64.1,37.4,2.8,6.2,1.2,4.8,0.3,0.2,0.2,2.0,0.4,5,5,5,2148,2155,-7,1209,2380,50.8,123,1032,11.9,PASS
Pascoe Vale,SAL22041,18171,36,2025,41.2,62.6,34.8,30.7,0.6,2.0,0.2,1.3,0.2,0.4,0.2,1.2,0.5,5,5,5,7137,7139,-2,2603,8432,30.9,717,4878,14.7,PASS
Point Cook,SAL22086,66781,33,2392,66.8,65.5,31.9,52.1,1.9,8.9,0.5,6.4,0.8,1.0,0.3,1.0,0.4,5,5,5,20137,20136,1,6469,31341,20.6,2197,18022,12.2,PASS
Port Melbourne,SAL22107,17633,42,2372,29.3,54.3,43.3,30.0,0.7,2.0,0.3,1.5,0.1,0.1,0.2,1.3,0.4,5,5,5,7830,7834,-4,2976,7919,37.6,660,4633,14.2,PASS
Prahran,SAL22118,12203,34,2121,17.0,43.6,54.2,31.4,0.8,1.9,0.3,1.5,0.2,0.2,0.3,1.5,0.3,5,5,5,6218,6219,-1,3242,6724,48.2,278,2760,10.1,PASS
