areaId,category,zonedSchool,schoolNo,boundaryDistanceM,anchorSource
sunshine-north-house,primary,Sunshine North Primary School,,133.7,station
sunshine-north-house,secondary,Sunshine College,,986.1,station
sunshine-station-2br,primary,Sunshine Primary School,,581.1,station
sunshine-station-2br,secondary,Sunshine College,,94.9,station
sunshine-west-house,primary,Glengala Primary School,,376.8,station
sunshine-west-house,secondary,Sunshine College,,2536.9,station
surrey-hills-house,primary,Surrey Hills Primary School,,342.6,station
surrey-hills-house,secondary,Koonung Secondary College,,4.1,station
sydenham-house,primary,Sydenham Primary School,,478.0,station
sydenham-house,secondary,Copperfield College,,250.1,station
templestowe-house,primary,Templestowe Park Primary School,,82.7,station
templestowe-house,secondary,Templestowe College,,1231.0,station
thomastown-house,primary,Thomastown Primary School,,318.2,station
thomastown-house,secondary,Thomastown Secondary College,,300.3,station
thornbury-2br,primary,Thornbury Primary School,,243.1,station
thornbury-2br,secondary,Northcote High School,,388.4,station
toorak-2br,primary,Armadale Primary School,,179.4,station
toorak-2br,secondary,Auburn High School,,173.4,station
tullamarine-house,primary,Tullamarine Primary School,,972.9,station
tullamarine-house,secondary,Gladstone Park Secondary College,,658.8,station
upfield-corridor,primary,Brunswick North Primary School,,97.7,station
upfield-corridor,secondary,Brunswick Secondary College,,802.1,station
viewbank-house,primary,Viewbank Primary School,,338.8,station
viewbank-house,secondary,Viewbank College,,1557.1,station
watsonia-house,primary,Watsonia Primary School,,632.2,station
watsonia-house,secondary,Greensborough Secondary College,,582.5,station
watsonia-north-house,primary,Watsonia North Primary School,,364.2,station
watsonia-north-house,secondary,Greensborough Secondary College,,763.8,station
werribee-house,primary,Werribee Primary School,,499.9,station
werribee-house,secondary,Werribee Secondary College,,193.8,station
west-melbourne-2br,primary,North Melbourne Primary School,,51.6,station
west-melbourne-2br,secondary,University High School,,1085.9,station
williamstown-house,primary,Williamstown Primary School,,424.3,station
williamstown-house,secondary,Williamstown High School,,424.3,station
wollert-house,primary,Wollert Primary School,,347.2,station
wollert-house,secondary,Wollert Secondary College,,1327.2,station
yarraville-2br,primary,Yarraville West Primary School,,544.9,station
yarraville-2br,secondary,Footscray High School,,1274.6,station
