id,displayName,components,observedLgas,censusPopulation2021,adjustedThreeYearPersonYears,growthMultiple,candidateSafetyScore,candidateRank,census2021SmoothedScore,census2021SmoothedRank,denominatorScoreDelta,denominatorRankDelta,adjustedRawScore,adjustedRawRank,smoothingScoreDelta,smoothingRankDelta,personCount,personRawRate,personSmoothedRate,personRiskPercentile,burglaryCount,burglaryRawRate,burglarySmoothedRate,burglaryRiskPercentile,vehicleCount,vehicleRawRate,vehicleSmoothedRate,vehicleRiskPercentile,damageCount,damageRawRate,damageSmoothedRate,damageRiskPercentile
blackburn-south-house,Blackburn South,Blackburn South,Whitehorse,10939,35415.7312,1.0792,7.6992,17,7.5381,20,0.161,-3,7.7119,18,-0.0127,-1,200,564.7208,703.2622,0.161,137,386.8337,409.7422,0.3051,580,1637.6903,1711.1935,0.3729,72,203.2995,297.6184,0.0424
box-hill-north-house,Box Hill North,Box Hill North,Whitehorse,12337,39941.8481,1.0792,7.6907,18,7.6822,16,0.0085,2,7.6695,20,0.0212,-2,196,490.7134,631.5179,0.0593,208,520.7571,514.7736,0.5847,421,1054.0324,1237.7417,0.1356,111,277.904,348.7367,0.1102
box-hill-south-house,Box Hill South,Box Hill South,Whitehorse,8491,27490.1704,1.0792,6.6949,37,6.5424,39,0.1525,-2,6.9237,31,-0.2288,6,154,560.2002,729.2357,0.1949,141,512.9106,507.0327,0.5254,487,1771.5423,1824.8812,0.4322,86,312.8391,397.8791,0.2119
brunswick-west-2br,Brunswick West,Brunswick West,Merri-bek,14746,47899.6889,1.0828,5.1314,64,5.0932,68,0.0381,-4,5.1144,62,0.0169,2,388,810.0261,876.3289,0.4322,245,511.4856,507.9258,0.5339,978,2041.7669,2029.6328,0.5593,290,605.4319,609.9611,0.5339
coburg-north-house,Coburg North,Coburg North,Merri-bek,8327,27048.7393,1.0828,2.7076,93,2.7839,92,-0.0763,1,2.6229,92,0.0847,1,374,1382.6892,1331.7368,0.7542,156,576.7367,553.5612,0.661,768,2839.319,2605.0848,0.7542,244,902.0753,829.0851,0.8136
gardenvale-house,Gardenvale,Gardenvale,Glen Eira,1019,3294.2602,1.0776,4.1441,76,4.2203,75,-0.0763,1,5.0636,65,-0.9195,11,31,941.0307,1131.2528,0.6525,12,364.27,459.5023,0.4576,83,2519.5339,2107.3084,0.6102,25,758.8957,663.1852,0.6102
heidelberg-west-house,Heidelberg West,Heidelberg West,Banyule,5252,16390.425,1.0403,0.6483,113,0.8136,112,-0.1653,1,0.4407,118,0.2076,-5,479,2922.4379,2267.4576,0.9237,217,1323.9437,1008.2726,0.9746,630,3843.7075,3134.2847,0.8898,309,1885.247,1410.2295,0.9492
keilor-house,Keilor,Keilor,Brimbank | Hume,5906,18971.3968,1.0707,7.6525,19,7.6229,18,0.0297,1,8.8941,7,-1.2415,12,106,558.7359,777.9801,0.322,39,205.5726,304.0497,0.1186,196,1033.1343,1357.0318,0.2034,45,237.1992,373.353,0.1525
keilor-downs-house,Keilor Downs,Keilor Downs,Brimbank,9857,29806.9546,1.008,7.0339,28,7.2458,29,-0.2119,-1,7.0975,26,-0.0636,2,250,838.7304,927.9577,0.4831,57,191.2305,266.5048,0.0424,331,1110.4791,1326.7809,0.178,107,358.9766,427.477,0.3136
keilor-east-house,Keilor East,Keilor East,Brimbank | Moonee Valley,15078,46728.4153,1.033,9.2331,3,9.4068,2,-0.1737,1,8.9831,6,0.25,-3,255,545.7065,659.9721,0.0932,80,171.202,227.5534,0.0169,488,1044.3324,1207.774,0.1102,151,323.1438,377.5279,0.1695
keysborough-house,Keysborough,Keysborough,Greater Dandenong,30018,94464.1666,1.049,7.1864,25,7.2839,26,-0.0975,-1,6.7542,34,0.4322,-9,755,799.2449,837.0255,0.4068,290,306.9947,324.5969,0.1271,1261,1334.8977,1395.8385,0.2119,331,350.3974,377.3213,0.161
